"","Symbol","ensembl_id","top50","max_PropZero","PropZero_filter","rank_invar","Gene Type","t"
"10535","TCIM","ENSG00000176907",FALSE,NA,FALSE,NA,NA,21.6501747890312
"10536","AC105999.2","ENSG00000253802",FALSE,NA,FALSE,NA,NA,8.52566708220669
"10537","AC105999.1","ENSG00000253354",FALSE,NA,FALSE,NA,NA,17.5106030548513
"10538","AC010857.1","ENSG00000272479",FALSE,NA,FALSE,NA,NA,20.1504602958399
"10539","ZMAT4","ENSG00000165061",TRUE,0.990358592692828,FALSE,NA,NA,75.8600098497495
"10540","SFRP1","ENSG00000104332",TRUE,1,FALSE,NA,NA,20.3836738105766
"10541","GOLGA7","ENSG00000147533",TRUE,1,FALSE,NA,NA,68.751477208958
"10542","GINS4","ENSG00000147536",FALSE,NA,FALSE,NA,NA,12.8145662476614
"10543","AC009630.1","ENSG00000253133",TRUE,1,FALSE,NA,NA,40.7592931428711
"10544","GPAT4","ENSG00000158669",TRUE,0.9375,FALSE,NA,NA,67.4078908331722
"10545","NKX6-3","ENSG00000165066",FALSE,NA,FALSE,NA,NA,8.12588778658527
"10546","ANK1","ENSG00000029534",TRUE,0.990358592692828,FALSE,NA,NA,26.5832480620727
"10547","AC113133.1","ENSG00000253389",FALSE,NA,FALSE,NA,NA,7.60213754202292
"10548","KAT6A","ENSG00000083168",TRUE,0.465473145780051,TRUE,272,NA,136.551546505327
"10549","AP3M2","ENSG00000070718",TRUE,0.94515306122449,FALSE,NA,NA,70.3090536615998
"10550","PLAT","ENSG00000104368",FALSE,NA,FALSE,NA,NA,19.4228299687233
"10551","AC083973.1","ENSG00000253408",FALSE,NA,FALSE,NA,NA,12.8766319491248
"10552","IKBKB","ENSG00000104365",TRUE,0.80306905370844,FALSE,NA,NA,84.1143139112365
"10553","POLB","ENSG00000070501",TRUE,0.90625,FALSE,NA,NA,74.1600087242566
"10554","VDAC3","ENSG00000078668",TRUE,0.924242424242424,FALSE,NA,NA,91.2883700005285
"10555","SLC20A2","ENSG00000168575",TRUE,0.78125,FALSE,NA,NA,140.23388899279
"10556","SMIM19","ENSG00000176209",TRUE,0.96969696969697,FALSE,NA,NA,55.1030947269154
"10557","CHRNB3","ENSG00000147432",FALSE,NA,FALSE,NA,NA,14.791008990927
"10558","AC103843.1","ENSG00000255101",FALSE,NA,FALSE,NA,NA,14.5075509112156
"10559","CHRNA6","ENSG00000147434",FALSE,NA,FALSE,NA,NA,24.2050489958845
"10560","THAP1","ENSG00000131931",FALSE,NA,FALSE,NA,NA,29.1957028545507
"10561","RNF170","ENSG00000120925",TRUE,0.909090909090909,FALSE,NA,NA,113.424798152071
"10562","HOOK3","ENSG00000168172",TRUE,0.712121212121212,TRUE,309,NA,145.805578776977
"10563","AC110275.1","ENSG00000254673",FALSE,NA,FALSE,NA,NA,7.94716781359938
"10564","FNTA","ENSG00000168522",TRUE,0.939393939393939,FALSE,NA,NA,63.6064598089572
